eff,cri
75,93
75,93
74.7,94
74.7,94
106.7,82
74.7,94
74.7,92
74.7,92
74.7,93
74.7,92
74.7,92
74.7,92
106.7,85
105.3,84
105.3,85
105.2,83
105.2,87
81.8,83
96.2,82
98,82
76.9,83
76.9,84
76.9,85
76.9,85
80,82
80,83
80,84
80,85
80,84
80,84
100,82
100,84
81.8,82
81.8,82
84.2,82
84.2,83
84.2,83
84.2,85
100,83
100,84
78.6,83
100,85
100,86
114.3,84
71.4,84
83.8,82
83.8,84
71.4,83
85.7,84
70.8,82
106.7,83
106.7,86
106.7,85
70.8,84
88.9,82
88.9,82
76.5,84
88.9,82
76.5,84
76.5,82
76.5,82
72.2,83
76.9,84
88.9,81
80,82
90.9,82
90.9,85
81.3,83
90,84
95,87
74.3,82
74.3,82
74.3,82
74.3,82
81.8,82
80,82
72.7,84
90,84
95,87
80.6,83
86.2,85
85.9,83
91.7,85
88.9,82
81.3,81
76.9,84
81.3,83
81.8,84
88.9,83
80,82
122,83
122,85
123,83
123,85
78.9,84
81.5,86
81.5,86
78.9,85
78.9,85
78.9,84
78.9,85
106.7,83
80,82
80,82
93,84
93,86
72,82
72,85
77.8,84
77.8,83
77.8,83
77.8,82
77.8,84
77.8,83
77.8,84
77.8,84
77.8,83
77.8,84
77.8,83
103.4,82
77.8,82
76.9,81
76.9,83
72.2,81
72.2,84
71.4,85
73.3,94
73.3,92
73.3,92
77.8,84
90,82
90.9,83
90.9,83
90.9,82
90.9,82
90.9,83
73.1,93
76.9,84
106.7,83
78.7,82
76.9,84
74.7,82
78.2,83
103.2,81
108.4,84
84.2,81
88.4,82
81.5,81
85.6,83
73.1,93
73,95
73,95
83.3,83
117.6,82
117.6,82
119.1,82
119.1,82
119.1,84
119.1,84
125.4,82
125.4,82
127.1,82
127.1,82
127.1,84
127.1,84
88.9,82
88.9,82
80,84
84.2,85
91.7,83
91.7,83
91.7,84
91.7,85
100,83
100,84
100,85
100,86
72.7,95
80,83
80,84
76.9,83
76.9,84
76.9,85
76.9,85
72.7,95
72.7,92
84.2,83
84.2,83
84.2,84
84.2,87
72.3,94
72.2,93
127,81
134,82
133.6,84
137,85
87.5,82
111.1,83
90.9,83
90.9,82
90.9,83
90.9,83
90.9,84
90.9,82
87.8,82
87.8,82
72,94
84.2,83
110.9,82
110.9,82
110.9,86
88.9,82
82.4,84
85.7,85
71.6,94
71.6,91
81.8,83
81.8,85
81.8,84
88.9,83
72.7,84
72.7,86
72.7,83
72.7,87
84.2,85
80.6,83
66.7,84
66.7,84
77.8,83
80.6,83
80.6,83
91.7,83
106.7,83
113.2,83
81.5,82
85.6,82
94.1,82
94.1,82
94.1,82
94.1,82
98.8,82
98.8,82
98.8,82
98.8,82
112.5,82
104.7,81
80,82
71.4,94
71.4,96
71.4,92
71.4,92
71.4,92
71.4,94
71.4,94
71.4,92
71.4,94
71.4,91
100,83
106.7,83
88.9,82
71.4,93
71.4,93
71.4,94
71.4,93
71.4,93
71.4,93
71.4,93
71.4,92
71.4,91
71.4,92
71.4,91
71.4,93
71.4,92
71.4,92
71.4,92
71.4,92
76.9,84
71.1,94
90,81
71.4,85
71.4,82
80,85
80,86
80,83
80,83
70.8,92
84.2,83
88.9,82
95.7,82
95.7,86
81.8,84
81.8,85
103.2,82
103.2,84
88.9,81
88.9,81
88.9,81
88.9,83
88.9,83
76.5,84
76.5,84
80.8,83
84.2,85
88.9,83
88.9,83
88.9,85
88.9,83
88.9,83
88.9,83
88.9,84
94.1,84
75,84
81,83
84.6,83
91.7,84
76.9,84
76.9,83
77.1,82
81.8,83
80.8,84
117.6,82
82.4,82
102.4,82
104.8,83
104.8,82
121.4,82
123.8,81
123.8,83
123.8,83
121.4,81
123.8,82
123.8,82
123.8,83
115.6,81
123.1,81
123.1,83
123.1,83
115.6,81
123.1,82
123.1,82
123.1,83
105.3,83
80.8,81
80.8,82
80.8,85
80.8,84
110,83
105.3,83
105.3,84
105.3,84
105.3,83
105.3,83
70,83
75,81
83.3,83
100,83
100,84
100,87
75,82
75,82
75,82
73.1,83
73.1,83
73.1,83
90,85
90,85
90,85
84.4,85
84.4,85
84.4,85
90,83
90,83
90,83
90.9,83
104.5,83
104.5,83
90.9,83
90.9,81
90.9,83
78.6,83
78.6,84
110,82
110,84
100,82
100,83
100,83
100,84
114.3,83
88.9,83
106.7,82
106.7,84
106.7,83
106.7,82
106.7,82
106.7,83
106.7,84
106.7,83
106.7,87
106.7,84
106.7,82
106.7,83
106.7,84
106.7,87
106.7,85
80,83
87.5,83
91.7,87
100,83
85.7,83
77.3,84
77.3,83
77.3,83
88.8,83
88.8,83
91.7,83
91.7,81
89.6,82
70,81
70,81
70,83
70,82
81.3,81
81.3,82
81.3,84
81.3,84
71,82
71,82
120,83
120,85
77.3,84
80,83
80,82
80,84
88.9,83
88.9,83
88.9,83
88.9,83
88.9,84
88.9,83
88.9,83
116.7,83
116.7,85
111.1,83
111.1,85
85.3,83
90.6,86
88.9,83
83.3,83
83.3,83
100,84
100,84
116.2,83
116.2,83
115.2,83
115.2,83
115.2,83
115.2,83
71,82
71,84
76.9,83
76.9,84
76.9,86
76.9,86
71.4,81
71.4,82
71.4,83
71.4,85
80,83
80,83
80,84
80,86
80,82
80,83
80,86
80,85
84.2,82
84.2,83
84.2,82
111.1,83
111.1,82
106.7,82
106.7,81
106.7,82
106.7,82
106.7,82
106.7,81
88.9,83
94.4,86
96,83
96,84
88.9,88
100.8,82
100.8,83
97,83
97,83
102.3,82
102.3,83
76.9,83
76.9,84
76.9,86
76.9,87
76.9,83
88.9,87
128,82
137,82
140,83
131,82
136,83
137,84
126.4,82
134,82
133.6,84
121.2,83
121.2,83
121.2,83
121.2,83
121.2,86
100,82
100,82
100,84
100,82
100,82
100,84
76.9,84
76.9,86
76.9,87
121.2,86
81.3,82
110.3,82
88.9,83
110.3,82
80,82
110.3,82
88.9,82
84.2,81
80,83
80,83
80,82
80,83
80,83
88.9,82
88.9,82
88.9,83
88.9,81
88.9,82
88.9,83
72.2,83
72.2,83
72.2,82
72.2,83
100,81
100,82
100,85
70,82
70,83
70,83
70,85
100,83
110,83
110,83
110,86
123.1,82
123.1,83
123.1,86
92.9,84
92.9,84
92.9,84
92.9,84
100,84
100,84
100,86
100,84
100,86
80,81
80,83
80,84
84.2,82
84.2,83
84.2,83
84.2,83
84.2,82
105,82
105,82
105,82
105,82
82.5,82
114.3,84
114.3,84
84.2,84
84.2,85
84.2,87
88.9,82
88.9,82
88.9,85
100,84
88.9,83
77.3,82
79.2,83
79.2,84
107.1,83
107.1,82
107.1,82
107.1,85
83.3,83
117.6,82
117.6,81
117.6,82
117.6,82
117.6,81
117.6,83
117.6,82
71.4,82
71.4,83
73.1,83
73.1,82
75,82
75,82
80,84
80,83
100,81
100,81
100,81
100,82
100,81
100,82
100,83
100,82
100,83
83.3,82
83.3,83
75,81
88.9,83
75,81
75,83
75,83
83.3,82
83.3,83
87.5,85
87.5,82
100,83
100,82
114.3,81
116.1,82
117.9,82
117.9,83
107.7,83
111.5,83
80,83
80,82
80,82
80,83
70,83
70,83
100,83
100,84
100,84
100,85
88.9,84
88.9,84
88.9,86
115.9,81
115.9,82
115.9,82
115.9,85
78.6,83
78.6,83
78.6,84
78.6,85
115.4,84
119.2,83
88,84
88,84
88,84
88,84
92,84
92,84
96,84
96,84
95.7,82
95.7,83
95.7,87
100,83
71.7,84
71.7,83
70,82
70,83
80,89
77.3,83
82.4,82
82.4,84
82.4,84
82.4,85
75,82
75,82
75,84
75,83
77.3,83
77.3,84
77.3,83
77.3,84
80.8,83
80.8,84
80.8,83
80.8,84
104.5,83
109.1,84
109.1,85
111.1,81
122.2,84
114.3,81
114.3,83
121.4,82
121.4,84
100,82
100,82
103.3,81
103.3,81
106.7,83
106.7,83
106.7,83
106.7,83
106.7,83
87.5,83
87.5,84
76.9,82
71.4,80
76.9,83
71.4,82
76.9,84
71.4,82
76.9,86
85.7,83
85.7,83
85.7,83
89.3,83
89.3,83
89.3,83
96.4,84
77.3,83
77.3,84
106.7,83
106.7,83
110,83
113.3,83
116.7,83
106.7,82
110,83
113.3,83
116.7,83
88.5,85
88.5,85
88.5,85
98.4,85
98.4,85
98.4,85
98.4,84
98.4,84
98.4,84
98.4,86
98.4,86
100,81
90,83
77.8,83
100,81
100,83
77.3,84
71.4,83
71.4,84
71.4,85
71.4,84
98.4,86
98.4,85
98.4,85
98.4,85
80,82
80,82
83.3,82
87.5,82
106.7,82
106.7,82
106.7,83
96.4,84
96.4,86
96.4,86
96.4,86
100,84
100,84
100,84
70.4,83
71.4,84
71.4,83
74.3,83
74.3,82
92.1,84
94.7,84
97.4,83
102.6,83
87.5,81
87.5,83
88.9,83
83.3,83
83.3,83
83.3,83
83.3,83
106.7,84
106.7,83
77.3,84
81.8,83
80,85
88.9,85
88.9,85
78.6,82
82.1,82
85.7,83
85.7,83
72.2,81
91.7,82
91.7,83
91.7,83
88.9,84
84.2,83
88.9,81
75.7,82
75.7,83
83.3,83
100,82
84.2,83
72.2,83
84.2,82
89.5,82
89.5,84
114.3,83
85.7,83
105,84
84.2,89
84.2,89
86.7,85
106.7,85
88.9,83
91.7,83
88.9,80
106.7,83
106.7,83
113.2,83
91.7,83
91.7,83
106.7,83
106.7,84
88.9,83
88.9,80
88.9,82
106.7,83
113.2,83
87.8,82
87.8,82
90.9,82
90.9,82
90.9,81
90.9,82
90,83
90,83
90,83
90,83
84.2,81
114.3,85
90,83
90,82
90,83
114.3,83
114.3,83
90.9,82
106.7,83
106.7,83
72.7,84
72.7,85
72.7,85
80,83
80,83
81.6,83
81.6,84
70,95
70,94
70,93
70,92
70,93
70,94
70,93
70,94
70,93
70,94
70,93
70,94
70,93
70,93
70,93
70,93
70,93
70,93
70,93
70,93
70,92
70,91
70,94
70,95
70,95
70,95
70,94
70,95
70,94
70,94
81.6,82
69.6,95
69.2,94
