t, intensity
35.84020336,0.535033696
35.87883096,0.503171915
35.88890773,0.494539985
35.9001472,0.513620141
35.98463701,0.486543464
36.02998246,0.478775242
36.02998246,0.471023994
36.03502084,0.455005657
36.05517437,0.463067577
36.08036629,0.438522314
36.08540467,0.423462817
36.08876359,0.446626011
36.09926022,0.43126068
36.1111564,0.390214464
36.12067335,0.414705413
36.13075012,0.406108716
36.15594203,0.397994311
36.15594203,0.36681455
36.15594203,0.359047922
36.16779705,0.378103489
36.18113395,0.348075733
36.18113395,0.337405183
36.18113395,0.329653934
36.18113395,0.321902686
36.18113395,0.314151437
36.18113395,0.306400188
36.20632586,0.298790229
36.20632586,0.291185132
36.20632586,0.283281021
36.21262384,0.275792012
36.23151778,0.258396012
36.23655616,0.267081005
36.23655616,0.234228238
36.25670969,0.250185135
36.25670969,0.242390389
36.25670969,0.224258159
36.28693999,0.19513604
36.29335248,0.212489959
36.30709352,0.203199886
36.33228544,0.174807272
36.33422328,0.184929996
36.33732382,0.167103072
36.35747735,0.386469564
36.41730815,0.157133492
36.72276012,0.148740429
36.78380207,0.138455984
36.82172836,0.117829115
36.82604697,0.128201086
36.86761363,0.092589973
36.88290872,0.106437997
36.89154595,0.064359913
36.91169948,0.072642738
36.91169948,0.041615374
36.91673787,0.081166386
36.9235545,0.052946668
36.9452887,0.033003352
36.96208331,0.024625978
37.01246714,0.017072406
37.05781259,0.008341884
37.09811966,0.002035758
37.66745694,0.001432062
38.2116023,0.003768571
38.24687098,0.025182483
38.24687098,0.017431234
38.26198613,0.010754805
38.27926059,0.03541308
38.28465886,0.048194538
38.32244673,0.071477132
38.34260026,0.060927666
38.34763865,0.078473746
38.37283056,0.086029613
38.37642941,0.10443868
38.38794571,0.093976815
38.39802248,0.120313586
38.39802248,0.113355079
38.43506941,0.131718188
38.45985718,0.14477734
38.75700727,0.153173402
38.87666886,0.178895151
38.9382491,0.161936363
38.95224461,0.214657666
38.95224461,0.199155169
38.95224461,0.19140392
38.95224461,0.183652671
38.95805813,0.171009546
38.96064191,0.311841999
38.96735976,0.230759337
38.97743652,0.206652314
38.98201687,0.239689496
38.99543075,0.251038095
38.99759005,0.222247486
39.00262844,0.276580286
39.00262844,0.268829038
39.00262844,0.261077789
39.00262844,0.366336221
39.0127052,0.292125709
39.0152244,0.341321007
39.02782035,0.283980961
39.04881362,0.319330252
39.04986328,0.303578203
39.06980688,0.332383052
39.07820418,0.346850428
39.0900592,0.358059791
39.1033961,0.44138383
39.1033961,0.410378835
39.1033961,0.402627587
39.1033961,0.394876338
39.1033961,0.38712509
39.1033961,0.379373841
39.1033961,0.371622593
39.12858801,0.433914802
39.12858801,0.417934703
39.14433296,0.451800151
39.14874155,0.425583335
39.21675972,0.465916378
39.22431729,0.476477561
39.29989304,0.485216404
39.40569908,0.536957489
39.40569908,0.52920624
39.40569908,0.521454992
39.40569908,0.513703743
39.40569908,0.505952495
39.40569908,0.498201246
39.41409638,0.491830074
39.43089099,0.559720847
39.43089099,0.551947229
39.43089099,0.544268683
39.44663594,0.57048222
39.47119806,0.610648129
39.48127483,0.587767408
39.49387078,0.578680422
39.52606045,0.599390022
39.54351367,0.631046959
39.55055259,0.620408781
39.55685057,0.714357526
39.55685057,0.69110378
39.55685057,0.683352532
39.55685057,0.675601283
39.55685057,0.667850034
39.55685057,0.660098786
39.55685057,0.652347537
39.55685057,0.644596289
39.55685057,0.639751758
39.58204249,0.706898285
39.58204249,0.698943468
39.58519147,0.72483973
39.71304044,0.737842501
39.78357781,0.748784933
39.85915355,0.7628952
39.86995009,0.755823597
39.88434547,0.911754762
39.89620049,0.774284257
39.92098825,0.786822451
39.9347293,0.939941835
39.95992121,0.802269448
39.96352006,0.794782498
39.98511313,0.817740767
39.98511313,0.81012871
39.99696815,0.82896584
40.00400706,0.844065158
40.01030504,0.886212661
40.01030504,0.878461413
40.01030504,0.870710164
40.01030504,0.862958916
40.01030504,0.855207667
40.04735198,0.905373693
40.05565049,0.893541758
40.06068887,0.918099194
40.09773581,0.929587437
40.1110727,0.942146395
40.13626462,0.94992177
40.14811964,0.960942432
40.16145653,0.980110612
40.16145653,0.972359363
40.18664845,0.995859029
40.18664845,0.988097104
40.74087058,0.996902525
41.29509271,0.996686177
41.84931485,0.996565918
42.40353698,0.995132432
42.95356046,0.992563305
43.29964939,0.985983661
43.39106005,0.966028009
43.41121358,0.974942231
43.4364055,0.958400719
43.4364055,0.950649471
43.47075811,0.933801059
43.48175094,0.942617002
43.53717316,0.925811672
43.53717316,0.918060423
43.53717316,0.910309175
43.53717316,0.902557926
43.53717316,0.894806678
43.53717316,0.887055429
43.53717316,0.863801683
43.56236507,0.879118586
