flux,imi
2177,0.2
2178,0.2
2178,0
2178,0
2182,0
2185,0.03
2187,0.23
2189,0
2189,0.11
2190,0.07
2190,0.17
2196,0.35
2198,0.31
2200,0.4
2205,0.66
2206,0.09
2221,0.18
2225,0.72
2225,0.42
2228,0
2231,0.33
2232,0.47
2234,0.3
2240,0.15
2241,0.18
2247,0.16
2250,0.51
2251,0.12
2255,1
2261,0.02
2266,0.21
2268,0.16
2270,0.25
2271,0.15
2271,0
2272,0.18
2273,0.21
2273,0
2278,0.22
2283,0.18
2285,0.36
2289,0.18
2291,0.11
2293,0
2294,0
2295,0.14
2299,0.18
2301,0.45
2303,0.22
2305,0
2305,0.49
2312,0.22
2314,0.14
2318,0.71
2321,0.01
2323,0.38
2323,0.48
2332,0.09
2332,0.24
2333,0
2333,0.04
2335,0.77
2335,0
2336,0.21
2337,0.43
2339,0.17
2339,0
2341,0.3
2341,0
2343,0.05
2349,0.01
2349,0.06
2351,0.56
2352,0.18
2352,0.01
2355,0.47
2357,0
2357,0
2360,0.01
2365,0.06
2365,0.33
2367,1
2368,0.17
2368,0.24
2374,0.32
2377,0.42
2382,0.12
2386,0
2389,0.15
2393,0.24
2393,0
2397,0.17
2405,0.23
2409,0.25
2413,0.03
2415,0.32
2425,0.28
2425,0.43
2427,0.22
2427,0
2431,0.07
2437,0.29
2439,0
2439,0.22
2446,0
2448,0.25
2456,0
2464,0.67
2476,0.54
2484,0.15
2488,0.11
2490,0.08
2503,0.2
2504,0.03
2509,0.56
2522,0.15
2523,0.13
2525,0.23
2530,0
2530,0
2546,0.24
2549,0.17
2560,0.82
2560,0.02
2564,0.11
2566,0.22
2571,0.18
2571,0.21
2575,0.23
2584,0.15
2590,0.14
2590,0.46
2593,0.3
2594,0.07
2594,0
2598,0.13
2598,0
2600,0.21
2602,0.13
2604,0.2
2614,0.01
2619,0.19
2622,0.24
2626,0.51
2628,0.2
2629,0.06
2630,0.45
2631,0.65
2634,0.47
2641,0.15
2646,0.32
2647,0
2653,0.07
2654,0
2657,0.12
2658,0.18
2659,0.02
2664,0.32
2664,0.12
2665,0.46
2671,0.27
2677,0
2681,0.55
2684,0
2684,0.34
2685,0.23
2686,0.22
2689,0.18
2691,0.32
2696,0.16
2699,0.28
2707,0.38
2713,0.01
2716,0.2
2716,0.25
2719,0.01
2719,0.12
2719,0.01
2726,0
2729,0.49
2732,0.18
2738,0
2739,0
2740,0.29
2743,0.23
2752,0
2754,0.13
2770,0.23
2770,0.15
2770,0.01
2775,0.01
2796,0.65
2798,0.25
2798,0.12
2800,0
2804,0.27
2805,0.06
2807,0.27
2808,0.17
2811,0.31
2811,0.56
2813,0
2817,0.81
2822,0.53
2826,0.4
2827,0.49
2828,0.12
2847,0
2852,0.17
2861,0.66
2869,0.17
2869,0.26
2870,0
2871,0.13
2872,0.72
2881,1
2882,0
2886,0.13
2891,0.1
2893,0.18
2893,0.38
2902,0.21
2907,0.27
2911,0.17
2917,0.24
2924,0.23
2925,0.1
2925,1
2934,0.62
2936,0.03
2944,0.26
2947,0.07
2948,0.85
2949,0.26
2952,0.17
